FMAP_INNB,VDPT_YR,PNU_LNM_CD,LGL_EMD_CD,LGL_EMD_NM,CHG_CFCD,CHG_CFNM,LNM,INTPR_CD,INTPR_NM,INVD_CFCD,INVD_CFNM,ITPINP_DE,RNHST_CD,RNHST_NM,MAPDMC_NO,ND_mean
"08386650","2020","4521032027103230006","45210320",죽산면,"02",변경,323-6대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",5.55507691701253
"08386649","2020","4521032027103230006","45210320",죽산면,"02",변경,323-6대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",7.20593690872192
"08391551","2020","4521032027103230005","45210320",죽산면,"02",변경,323-5대,"01",논,"03",드론영상,"20201218","02",형상,"35604093",5.24194784164429
"08386651","2020","4521032027103230002","45210320",죽산면,"02",변경,323-2대,"01",논,"03",드론영상,"20201218",,,"35604093",2.62662331263224
"08391561","2020","4521032027103220003","45210320",죽산면,"01",유지,322-3답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",3.60121605131361
"08393719","2020","4521032027103000002","45210320",죽산면,"02",변경,300-2답,"04",시설,"03",드론영상,"20201218",,,"35604092",18.3669533729553
"08391750","2020","4521032027102980002","45210320",죽산면,"02",변경,298-2대,"02",밭,"03",드론영상,"20201218",,,"35604093",13.3900165557861
"08391749","2020","4521032027102900004","45210320",죽산면,"02",변경,290-4대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",7.11853551864624
"08391745","2020","4521032027102900004","45210320",죽산면,"02",변경,290-4대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",6.45003890991211
"12676685","2020","4521032027102880002","45210320",죽산면,"02",변경,288-2대,"02",밭,"03",드론영상,"20201218",,,"35604093",7.32115924358368
"08390525","2020","4521032027102880002","45210320",죽산면,"02",변경,288-2대,"02",밭,"03",드론영상,"20201218",,,"35604093",5.2064216931661
"08390507","2020","4521032027102850003","45210320",죽산면,"02",변경,285-3대,"02",밭,"03",드론영상,"20201218",,,"35604093",1.60218238830566
